Fieldwork date,Polling firm,poll,party
9/8/2019,JNN,6.5,CDP
9/8/2019,NHK,7.19921875,CDP
9/9/2019,Jiji Press,4.1015625,CDP
9/12/2019,Kyodo News,10,CDP
9/12/2019,Nikkei & TV Tokyo,7,CDP
9/15/2019,Yomiuri Shimbun,5,CDP
9/15/2019,Mainichi Shimbun,8,CDP
9/15/2019,ANN,7,CDP
9/15/2019,Asahi Shimbun,7,CDP
10/6/2019,Kyodo News,8,CDP
10/6/2019,JNN,8.1015625,CDP
10/14/2019,Jiji Press,5.80078125,CDP
10/20/2019,Yomiuri Shimbun,5,CDP
10/20/2019,Asahi Shimbun,6,CDP
10/20/2019,ANN,7.80078125,CDP
10/27/2019,Kyodo News,8.5,CDP
10/27/2019,Mainichi Shimbun,10,CDP
10/27/2019,Nikkei & TV Tokyo,7,CDP
11/10/2019,ANN,9.796875,CDP
11/10/2019,go2senkyo & JX,12.5,CDP
11/10/2019,Jiji Press,3.099609375,CDP
11/10/2019,JNN,6.30078125,CDP
11/10/2019,NHK,6.30078125,CDP
11/17/2019,Yomiuri Shimbun,7,CDP
11/17/2019,Asahi Shimbun,7,CDP
11/24/2019,Nikkei & TV Tokyo,8,CDP
11/24/2019,Kyodo News,8.703125,CDP
12/1/2019,Mainichi Shimbun,8,CDP
12/8/2019,NHK,5.5,CDP
12/8/2019,JNN,7.30078125,CDP
12/9/2019,Mainichi & SSRC,9,CDP
12/9/2019,Jiji Press,3.80078125,CDP
12/15/2019,Yomiuri Shimbun,6,CDP
12/15/2019,Kyodo News,10.796875,CDP
12/15/2019,ANN,9.796875,CDP
12/15/2019,go2senkyo & JX,12.5,CDP
12/22/2019,Asahi Shimbun,6,CDP
12/22/2019,Nikkei & TV Tokyo,8,CDP
1/12/2020,JNN,5.80078125,CDP
1/12/2020,go2senkyo & JX,11.203125,CDP
1/12/2020,Kyodo News,6.8984375,CDP
1/13/2020,Jiji Press,3.30078125,CDP
1/13/2020,NHK,5.3984375,CDP
1/19/2020,Yomiuri Shimbun,7,CDP
1/19/2020,Mainichi Shimbun,8,CDP
1/19/2020,ANN,8.203125,CDP
1/26/2020,Nikkei & TV Tokyo,10,CDP
1/26/2020,Asahi Shimbun,7,CDP
2/2/2020,JNN,4.80078125,CDP
2/9/2020,Jiji Press,5.6015625,CDP
2/9/2020,NHK,6,CDP
2/15/2020,Yomiuri Shimbun,5,CDP
2/16/2020,go2senkyo & JX,12.796875,CDP
2/16/2020,Asahi Shimbun,6,CDP
2/16/2020,Kyodo News,10.8984375,CDP
2/16/2020,ANN,10.203125,CDP
2/23/2020,Nikkei & TV Tokyo,9,CDP
3/1/2020,go2senkyo & JX,12.1015625,CDP
3/1/2020,go2senkyo & JX,12.296875,CDP
3/8/2020,NHK,6.30078125,CDP
3/8/2020,JNN,6.3984375,CDP
3/9/2020,Jiji Press,3.5,CDP
3/15/2020,Mainichi Shimbun,9,CDP
3/15/2020,Asahi Shimbun,6,CDP
3/16/2020,Kyodo News,9.6015625,CDP
3/22/2020,Yomiuri Shimbun,5,CDP
3/22/2020,ANN,8.1015625,CDP
3/28/2020,Kyodo News,7.3984375,CDP
3/29/2020,Nikkei & TV Tokyo,8,CDP
4/5/2020,JNN,5,CDP
4/9/2020,"Mainichi, JNN, & SSRC",9,CDP
4/12/2020,go2senkyo & JX,9.5,CDP
4/12/2020,NHK,4,CDP
4/12/2020,Yomiuri Shimbun,5,CDP
4/13/2020,Asahi Shimbun,9,CDP
4/13/2020,Kyodo News,7.69921875,CDP
4/19/2020,Mainichi Shimbun,5,CDP
4/19/2020,Asahi Shimbun,5,CDP
5/10/2020,Yomiuri Shimbun,4,CDP
5/10/2020,Kyodo News,6.8984375,CDP
5/10/2020,Nikkei & TV Tokyo,3,CDP
5/10/2020,JNN,6.1015625,CDP
5/17/2020,ANN,8.703125,CDP
5/17/2020,go2senkyo & JX,12.703125,CDP
5/24/2020,Mainichi & SSRC,12,CDP
5/24/2020,Asahi Shimbun,5,CDP
5/31/2020,Kyodo News,7.19921875,CDP
6/1/2020,Jiji Press,6.6015625,CDP
6/7/2020,Yomiuri Shimbun,4,CDP
6/7/2020,Nikkei & TV Tokyo,5,CDP
6/7/2020,JNN,6.1015625,CDP
6/14/2020,go2senkyo & JX,13,CDP
6/20/2020,Mainichi & SSRC,10,CDP
6/21/2020,Asahi Shimbun,5,CDP
6/21/2020,Kyodo News,7.6015625,CDP
6/21/2020,ANN,9.1015625,CDP
6/22/2020,Jiji Press,7.19921875,CDP
7/5/2020,Yomiuri Shimbun,5,CDP
7/5/2020,JNN,5.1015625,CDP
7/12/2020,go2senkyo & JX,8.3984375,CDP
7/13/2020,Jiji Press,3.30078125,CDP
7/19/2020,ANN,8.703125,CDP
7/19/2020,Asahi Shimbun,5,CDP
7/19/2020,Kyodo News,6.30078125,CDP
7/19/2020,Nikkei & TV Tokyo,4,CDP
7/19/2020,Mainichi & SSRC,9,CDP
8/2/2020,JNN,4.5,CDP
8/23/2020,ANN,7.69921875,CDP
9/3/2020,Mainichi and JNN,3,CDP
9/6/2020,JNN,3.5,CDP
9/17/2020,Nikkei,7,CDP
9/17/2020,Asahi Shimbun,6,CDP
9/20/2020,Yomiuri-NNN,4,CDP
9/20/2020,ANN,9.1015625,CDP
9/22/2020,NHK,6.19921875,CDP
10/4/2020,JNN,4.5,CDP
10/11/2020,NHK,5.80078125,CDP
10/12/2020,Jiji Press,3.80078125,CDP
10/18/2020,Yomiuri-NNN,4,CDP
10/18/2020,ANN,9,CDP
10/18/2020,Asahi Shimbun,6,CDP
10/25/2020,Nikkei,8,CDP
11/8/2020,NHK,4.8984375,CDP
11/8/2020,JNN,4.5,CDP
11/8/2020,Yomiuri-NNN,4,CDP
11/9/2020,Jiji Press,4.1015625,CDP
11/15/2020,Asahi Shimbun,6,CDP
11/15/2020,ANN,9.203125,CDP
11/17/2020,Yomiuri-Waseda,6,CDP
11/29/2020,Nikkei,6,CDP
12/6/2020,Yomiuri-NNN,5,CDP
12/6/2020,Kyodo News,7.19921875,CDP
12/6/2020,JNN,5,CDP
12/7/2020,Jiji Press,4.1015625,CDP
12/13/2020,NHK,5.1015625,CDP
12/20/2020,ANN,9.296875,CDP
12/27/2020,Nikkei,9,CDP
12/27/2020,Yomiuri-NNN,3,CDP
1/10/2021,Kyodo News,7.80078125,CDP
1/10/2021,JNN,5.8984375,CDP
1/11/2021,Jiji Press,3.099609375,CDP
1/11/2021,NHK,6.6015625,CDP
1/17/2021,Yomiuri-NNN,5,CDP
1/17/2021,ANN,7.8984375,CDP
1/24/2021,FNN-Sankei,8.8984375,CDP
1/31/2021,Nikkei,9,CDP
2/7/2021,Yomiuri-NNN,5,CDP
2/7/2021,JNN,6.19921875,CDP
2/7/2021,Jiji Press,3.80078125,CDP
2/7/2021,NHK,6.80078125,CDP
2/14/2021,ANN,11.796875,CDP
2/14/2021,Asahi Shimbun,7,CDP
2/21/2021,FNN-Sankei,8,CDP
2/28/2021,Nikkei,11,CDP
3/7/2021,JNN,4.80078125,CDP
3/7/2021,Yomiuri-NNN,6,CDP
3/7/2021,NHK,4.5,CDP
3/8/2021,Jiji Press,4.80078125,CDP
3/14/2021,FNN-Sankei,6.5,CDP
3/21/2021,Asahi Shimbun,5,CDP
3/21/2021,ANN,10.5,CDP
3/28/2021,Nikkei,11,CDP
4/1/2021,Mainichi Shimbun,11,CDP
4/4/2021,JNN,4.8984375,CDP
4/4/2021,Yomiuri-NNN,5,CDP
4/11/2021,NHK,6.30078125,CDP
4/11/2021,Asahi Shimbun,6,CDP
4/12/2021,Asahi Shimbun,8,CDP
4/12/2021,Jiji Press,4.19921875,CDP
4/18/2021,ANN,9,CDP
4/18/2021,FNN-Sankei,5.5,CDP
4/25/2021,Nikkei,9,CDP
5/9/2021,NHK,5.80078125,CDP
5/9/2021,JNN,6,CDP
5/9/2021,Yomiuri-NNN,7,CDP
5/10/2021,Jiji Press,4.3984375,CDP
5/16/2021,Kyodo News,8.6015625,CDP
5/16/2021,FNN-Sankei,7.69921875,CDP
5/16/2021,go2senkyo,14.296875,CDP
5/16/2021,ANN,12.203125,CDP
5/16/2021,Asahi Shimbun,7,CDP
5/30/2021,Nikkei,8,CDP
6/1/2021,Mainichi Shimbun,10,CDP
6/6/2021,Yomiuri-NNN,5,CDP
6/6/2021,JNN,5.80078125,CDP
6/13/2021,NHK,6.3984375,CDP
6/13/2021,go2senkyo,13.8984375,CDP
6/14/2021,Jiji Press,2.900390625,CDP
6/20/2021,FNN-Sankei,8.203125,CDP
6/20/2021,ANN,8.3984375,CDP
6/20/2021,Asahi Shimbun,6,CDP
6/27/2021,Nikkei,8,CDP
7/1/2021,Mainichi Shimbun,10,CDP
7/4/2021,JNN,6.1015625,CDP
7/11/2021,Yomiuri-NNN,5,CDP
7/11/2021,go2senkyo,12,CDP
7/11/2021,NHK,6,CDP
7/12/2021,Jiji Press,4.5,CDP
7/18/2021,FNN-Sankei,8,CDP
7/18/2021,ANN,8.796875,CDP
7/25/2021,Nikkei,9,CDP
8/1/2021,Mainichi Shimbun,10,CDP
8/8/2021,Asahi Shimbun,6,CDP
8/8/2021,JNN,5.3984375,CDP
8/9/2021,Yomiuri-NNN,5,CDP
8/9/2021,Jiji Press,3.900390625,CDP
8/9/2021,NHK,6.3984375,CDP
8/15/2021,go2senkyo,11.1015625,CDP
8/22/2021,ANN,8.1015625,CDP
8/22/2021,FNN-Sankei,6.6015625,CDP
9/1/2021,Mainichi Shimbun,10,CDP
9/5/2021,Yomiuri Shimbun,7,CDP
9/11/2021,Nikkei,8,CDP
9/12/2021,NHK,5.5,CDP
9/12/2021,Asahi Shimbun,5,CDP
9/13/2021,Jiji Press,3,CDP
9/19/2021,FNN-Sankei,6.8984375,CDP
9/19/2021,ANN,9.8984375,CDP
9/25/2021,Nikkei,8,CDP
10/5/2021,Nikkei & TV Tokyo,8,CDP
10/5/2021,Yomiuri Shimbun,7,CDP
10/5/2021,Asahi Shimbun,5,CDP
10/10/2021,Green Ship,13.7265625,CDP
10/10/2021,FNN-Sankei,6.3984375,CDP
10/10/2021,NHK,6.1015625,CDP
10/10/2021,JNN,5.69921875,CDP
10/15/2021,Yomiuri Shimbun,6,CDP
10/17/2021,NHK,6.6015625,CDP
10/17/2021,ANN,12.1015625,CDP
10/17/2021,go2senkyo,11.796875,CDP
10/17/2021,Kyodo News,10.3984375,CDP
10/20/2021,Asahi Shimbun,7,CDP
10/20/2021,Mainichi Shimbun,14,CDP
10/24/2021,go2senkyo,14.796875,CDP
10/24/2021,NHK,8,CDP
1/8/2018,NHK,2.400390625,NKP
1/14/2018,Yomiuri Shimbun,4,NKP
1/14/2018,JNN,3.30078125,NKP
1/14/2018,Kyodo News,2.80078125,NKP
1/15/2018,Jiji Press,3.400390625,NKP
1/21/2018,Mainichi Shimbun,3,NKP
1/21/2018,ANN,3.599609375,NKP
1/21/2018,Asahi Shimbun,4,NKP
1/28/2018,NTV,3.80078125,NKP
1/28/2018,Nikkei,2,NKP
2/4/2018,JNN,3.400390625,NKP
2/11/2018,Yomiuri Shimbun,3,NKP
2/11/2018,Kyodo News,4,NKP
2/12/2018,Jiji Press,3.900390625,NKP
2/12/2018,NHK,2.099609375,NKP
2/18/2018,Asahi Shimbun,3,NKP
2/18/2018,NTV,4.1015625,NKP
2/25/2018,Mainichi Shimbun,3,NKP
2/25/2018,ANN,3.69921875,NKP
2/25/2018,Nikkei,4,NKP
3/4/2018,Kyodo News,3.69921875,NKP
3/4/2018,JNN,3.80078125,NKP
3/11/2018,Yomiuri Shimbun,4,NKP
3/11/2018,NHK,3.099609375,NKP
3/12/2018,Jiji Press,2.900390625,NKP
3/18/2018,Asahi Shimbun,3,NKP
3/18/2018,Kyodo News,3.19921875,NKP
3/18/2018,Mainichi Shimbun,3,NKP
3/18/2018,NTV,3.69921875,NKP
3/25/2018,Nikkei & TV Tokyo,4,NKP
3/25/2018,ANN,3.80078125,NKP
4/1/2018,Kyodo News,3.900390625,NKP
4/1/2018,Yomiuri Shimbun,3,NKP
4/8/2018,NHK,3.5,NKP
4/8/2018,JNN,3.099609375,NKP
4/9/2018,Jiji Press,3.900390625,NKP
4/15/2018,NTV,4,NKP
4/15/2018,Asahi Shimbun,4,NKP
4/22/2018,Mainichi Shimbun,3,NKP
4/22/2018,ANN,3.099609375,NKP
4/22/2018,Yomiuri Shimbun,2,NKP
4/25/2018,Asahi Shimbun,4,NKP
4/29/2018,Nikkei & TV Tokyo,3,NKP
5/13/2018,Kyodo News,3.69921875,NKP
5/13/2018,JNN,3.69921875,NKP
5/13/2018,NHK,3.5,NKP
5/14/2018,Jiji Press,4.3984375,NKP
5/20/2018,Yomiuri Shimbun,4,NKP
5/20/2018,NTV,3.69921875,NKP
5/20/2018,Asahi Shimbun,3,NKP
5/20/2018,ANN,4.1015625,NKP
5/27/2018,Mainichi Shimbun,4,NKP
5/27/2018,Nikkei & TV Tokyo,4,NKP
6/3/2018,JNN,3.19921875,NKP
6/10/2018,NHK,2.400390625,NKP
6/11/2018,Jiji Press,3.80078125,NKP
6/17/2018,ANN,3,NKP
6/17/2018,Asahi Shimbun,3,NKP
6/17/2018,NTV,3.400390625,NKP
6/17/2018,Yomiuri Shimbun,3,NKP
6/24/2018,Nikkei & TV Tokyo,4,NKP
6/24/2018,Mainichi Shimbun,4,NKP
7/8/2018,JNN,3,NKP
7/8/2018,NHK,2.69921875,NKP
7/9/2018,Jiji Press,3.69921875,NKP
7/15/2018,Asahi Shimbun,4,NKP
7/22/2018,Kyodo News,2.900390625,NKP
7/22/2018,Yomiuri Shimbun,3,NKP
7/22/2018,Nikkei & TV Tokyo,3,NKP
7/22/2018,ANN,4.30078125,NKP
7/29/2018,Mainichi Shimbun,2,NKP
8/5/2018,NHK,4.1015625,NKP
8/5/2018,JNN,3.400390625,NKP
8/5/2018,Asahi Shimbun,3,NKP
8/6/2018,Jiji Press,3.30078125,NKP
8/19/2018,ANN,3.80078125,NKP
8/26/2018,Nikkei & TV Tokyo,3,NKP
8/26/2018,Yomiuri Shimbun,2,NKP
8/26/2018,Kyodo News,2.30078125,NKP
9/2/2018,JNN,1.799804688,NKP
9/2/2018,Mainichi Shimbun,3,NKP
9/9/2018,Asahi Shimbun,2,NKP
9/10/2018,Jiji Press,4.1015625,NKP
9/16/2018,ANN,3.900390625,NKP
9/17/2018,NHK,4.1015625,NKP
9/21/2018,Kyodo News,3.30078125,NKP
9/23/2018,Nikkei & TV Tokyo,4,NKP
9/23/2018,Yomiuri Shimbun,4,NKP
10/3/2018,Nikkei & TV Tokyo,4,NKP
10/3/2018,Kyodo News,4.3984375,NKP
10/3/2018,Yomiuri Shimbun,3,NKP
10/7/2018,Mainichi Shimbun,4,NKP
10/8/2018,NHK,3.30078125,NKP
10/8/2018,Jiji Press,2.69921875,NKP
10/14/2018,Asahi Shimbun,2,NKP
10/14/2018,JNN,3.900390625,NKP
10/21/2018,ANN,3.099609375,NKP
10/28/2018,Yomiuri Shimbun,3,NKP
10/28/2018,Nikkei & TV Tokyo,4,NKP
11/4/2018,Kyodo News,5.30078125,NKP
11/4/2018,JNN,4.30078125,NKP
11/11/2018,NHK,3.69921875,NKP
11/12/2018,Jiji Press,4,NKP
11/18/2018,Mainichi Shimbun,5,NKP
11/18/2018,ANN,3.69921875,NKP
11/18/2018,Asahi Shimbun,3,NKP
11/25/2018,Yomiuri Shimbun,4,NKP
11/25/2018,Nikkei & TV Tokyo,4,NKP
12/2/2018,JNN,3.19921875,NKP
12/9/2018,NHK,3.599609375,NKP
12/10/2018,Mainichi & SSRC,2,NKP
12/10/2018,Jiji Press,3.400390625,NKP
12/16/2018,Yomiuri Shimbun,4,NKP
12/16/2018,Nikkei & TV Tokyo,4,NKP
12/16/2018,Mainichi Shimbun,4,NKP
12/16/2018,Kyodo News,3.80078125,NKP
12/16/2018,Asahi Shimbun,3,NKP
12/16/2018,ANN,3.900390625,NKP
12/25/2018,Asahi Shimbun,3,NKP
1/13/2019,Kyodo News,2.80078125,NKP
1/13/2019,JNN,3.400390625,NKP
1/14/2019,Jiji Press,2.80078125,NKP
1/14/2019,NHK,5.5,NKP
1/20/2019,Asahi Shimbun,3,NKP
1/27/2019,Yomiuri Shimbun,3,NKP
1/27/2019,Nikkei & TV Tokyo,4,NKP
1/27/2019,ANN,5.1015625,NKP
2/3/2019,JNN,4.19921875,NKP
2/3/2019,Mainichi Shimbun,3,NKP
2/3/2019,Kyodo News,3.69921875,NKP
2/11/2019,Jiji Press,3.30078125,NKP
2/11/2019,NHK,3.30078125,NKP
2/17/2019,Nikkei & TV Tokyo,3,NKP
2/17/2019,Asahi Shimbun,3,NKP
2/24/2019,Yomiuri Shimbun,3,NKP
2/24/2019,ANN,4.5,NKP
3/3/2019,JNN,3.69921875,NKP
3/10/2019,NHK,3.400390625,NKP
3/10/2019,Kyodo News,4.30078125,NKP
3/11/2019,Jiji Press,2.80078125,NKP
3/17/2019,Mainichi Shimbun,5,NKP
3/17/2019,Asahi Shimbun,4,NKP
3/17/2019,ANN,4.69921875,NKP
3/24/2019,Yomiuri Shimbun,4,NKP
3/24/2019,Nikkei & TV Tokyo,3,NKP
4/2/2019,Yomiuri Shimbun,4,NKP
4/2/2019,Kyodo News,3.5,NKP
4/7/2019,NHK,4.3984375,NKP
4/7/2019,JNN,3.80078125,NKP
4/8/2019,Jiji Press,3.900390625,NKP
4/14/2019,Mainichi Shimbun,4,NKP
4/14/2019,Asahi Shimbun,3,NKP
4/15/2019,Asahi Shimbun,4,NKP
4/21/2019,ANN,3.80078125,NKP
4/28/2019,Yomiuri Shimbun,3,NKP
5/2/2019,Kyodo News,4.19921875,NKP
5/12/2019,Nikkei & TV Tokyo,5,NKP
5/12/2019,JNN,3.19921875,NKP
5/12/2019,NHK,3.099609375,NKP
5/13/2019,Jiji Press,3.80078125,NKP
5/19/2019,ANN,5.5,NKP
5/19/2019,Mainichi Shimbun,5,NKP
5/19/2019,Yomiuri Shimbun,4,NKP
5/19/2019,Asahi Shimbun,4,NKP
5/19/2019,Kyodo News,3.900390625,NKP
6/2/2019,JNN,3.5,NKP
6/9/2019,NHK,3.099609375,NKP
6/10/2019,Jiji Press,2.599609375,NKP
6/16/2019,Kyodo News,4.30078125,NKP
6/16/2019,Mainichi Shimbun,3,NKP
6/23/2019,Asahi Shimbun,3,NKP
6/23/2019,NHK,4.80078125,NKP
6/27/2019,Kyodo News,5.1015625,NKP
6/30/2019,Yomiuri Shimbun,3,NKP
6/30/2019,Nikkei & TV Tokyo,4,NKP
6/30/2019,NHK,3.80078125,NKP
7/5/2019,Yomiuri Shimbun,4,NKP
7/7/2019,NHK,4.80078125,NKP
7/7/2019,JNN,4.5,NKP
7/8/2019,Jiji Press,4.1015625,NKP
7/14/2019,Asahi Shimbun,4,NKP
7/15/2019,NHK,4.30078125,NKP
7/23/2019,Asahi Shimbun,5,NKP
7/23/2019,Kyodo News,4.6015625,NKP
7/23/2019,Yomiuri Shimbun,5,NKP
7/28/2019,Nikkei & TV Tokyo,4,NKP
8/4/2019,NHK,4,NKP
8/4/2019,JNN,5.30078125,NKP
8/12/2019,Jiji Press,4.1015625,NKP
8/18/2019,Kyodo News,5.1015625,NKP
8/18/2019,ANN,3.900390625,NKP
8/25/2019,Yomiuri Shimbun,4,NKP
9/1/2019,Nikkei & TV Tokyo,5,NKP
9/8/2019,JNN,2.900390625,NKP
9/8/2019,NHK,2.599609375,NKP
9/9/2019,Jiji Press,3.5,NKP
9/12/2019,Kyodo News,3.30078125,NKP
9/12/2019,Nikkei & TV Tokyo,4,NKP
9/15/2019,Yomiuri Shimbun,5,NKP
9/15/2019,Mainichi Shimbun,5,NKP
9/15/2019,ANN,5.3984375,NKP
9/15/2019,Asahi Shimbun,3,NKP
10/6/2019,Kyodo News,3.80078125,NKP
10/6/2019,JNN,3.5,NKP
10/14/2019,Jiji Press,3.900390625,NKP
10/20/2019,Yomiuri Shimbun,3,NKP
10/20/2019,Asahi Shimbun,5,NKP
10/20/2019,ANN,4.30078125,NKP
10/27/2019,Kyodo News,4.19921875,NKP
10/27/2019,Mainichi Shimbun,3,NKP
10/27/2019,Nikkei & TV Tokyo,5,NKP
11/10/2019,ANN,5.30078125,NKP
11/10/2019,go2senkyo & JX,4.30078125,NKP
11/10/2019,Jiji Press,3.69921875,NKP
11/10/2019,JNN,4.69921875,NKP
11/10/2019,NHK,3.80078125,NKP
11/17/2019,Yomiuri Shimbun,4,NKP
11/17/2019,Asahi Shimbun,3,NKP
11/24/2019,Nikkei & TV Tokyo,4,NKP
11/24/2019,Kyodo News,4.19921875,NKP
12/1/2019,Mainichi Shimbun,3,NKP
12/8/2019,NHK,2.69921875,NKP
12/8/2019,JNN,3.099609375,NKP
12/9/2019,Mainichi & SSRC,4,NKP
12/9/2019,Jiji Press,3.5,NKP
12/15/2019,Yomiuri Shimbun,3,NKP
12/15/2019,Kyodo News,4.69921875,NKP
12/15/2019,ANN,2.80078125,NKP
12/15/2019,go2senkyo & JX,3.80078125,NKP
12/22/2019,Asahi Shimbun,4,NKP
12/22/2019,Nikkei & TV Tokyo,4,NKP
1/12/2020,JNN,3.80078125,NKP
1/12/2020,go2senkyo & JX,3.5,NKP
1/12/2020,Kyodo News,2.900390625,NKP
1/13/2020,Jiji Press,3.400390625,NKP
1/13/2020,NHK,3.400390625,NKP
1/19/2020,Yomiuri Shimbun,3,NKP
1/19/2020,Mainichi Shimbun,2,NKP
1/19/2020,ANN,4.3984375,NKP
1/26/2020,Nikkei & TV Tokyo,3,NKP
1/26/2020,Asahi Shimbun,4,NKP
2/2/2020,JNN,2.599609375,NKP
2/9/2020,Jiji Press,2.80078125,NKP
2/9/2020,NHK,4,NKP
2/15/2020,Yomiuri Shimbun,3,NKP
2/16/2020,go2senkyo & JX,4.19921875,NKP
2/16/2020,Asahi Shimbun,3,NKP
2/16/2020,Kyodo News,3.099609375,NKP
2/16/2020,ANN,3.80078125,NKP
2/23/2020,Nikkei & TV Tokyo,4,NKP
3/1/2020,go2senkyo & JX,3.5,NKP
3/1/2020,go2senkyo & JX,3.5,NKP
3/8/2020,NHK,3,NKP
3/8/2020,JNN,3.5,NKP
3/9/2020,Jiji Press,3.5,NKP
3/15/2020,Mainichi Shimbun,4,NKP
3/15/2020,Asahi Shimbun,3,NKP
3/16/2020,Kyodo News,3.30078125,NKP
3/22/2020,Yomiuri Shimbun,4,NKP
3/22/2020,ANN,4.69921875,NKP
3/28/2020,Kyodo News,3.599609375,NKP
3/29/2020,Nikkei & TV Tokyo,4,NKP
4/5/2020,JNN,4.19921875,NKP
4/9/2020,"Mainichi, JNN, & SSRC",3,NKP
4/12/2020,go2senkyo & JX,2.400390625,NKP
4/12/2020,NHK,3.30078125,NKP
4/12/2020,Yomiuri Shimbun,4,NKP
4/13/2020,Asahi Shimbun,4,NKP
4/13/2020,Kyodo News,3.400390625,NKP
4/19/2020,Mainichi Shimbun,5,NKP
4/19/2020,Asahi Shimbun,5,NKP
5/10/2020,Yomiuri Shimbun,4,NKP
5/10/2020,Kyodo News,5.30078125,NKP
5/10/2020,Nikkei & TV Tokyo,3,NKP
5/10/2020,JNN,4.3984375,NKP
5/17/2020,ANN,4.19921875,NKP
5/17/2020,go2senkyo & JX,4.30078125,NKP
5/24/2020,Mainichi & SSRC,4,NKP
5/24/2020,Asahi Shimbun,4,NKP
5/31/2020,Kyodo News,3,NKP
6/1/2020,Jiji Press,4,NKP
6/7/2020,Yomiuri Shimbun,3,NKP
6/7/2020,Nikkei & TV Tokyo,3,NKP
6/7/2020,JNN,3.5,NKP
6/14/2020,go2senkyo & JX,4.19921875,NKP
6/20/2020,Mainichi & SSRC,4,NKP
6/21/2020,Asahi Shimbun,3,NKP
6/21/2020,Kyodo News,3.400390625,NKP
6/21/2020,ANN,3.80078125,NKP
6/22/2020,Jiji Press,4.30078125,NKP
7/5/2020,Yomiuri Shimbun,4,NKP
7/5/2020,JNN,3.5,NKP
7/12/2020,go2senkyo & JX,5.80078125,NKP
7/13/2020,Jiji Press,2.80078125,NKP
7/19/2020,ANN,4.8984375,NKP
7/19/2020,Asahi Shimbun,3,NKP
7/19/2020,Kyodo News,5.19921875,NKP
7/19/2020,Nikkei & TV Tokyo,3,NKP
7/19/2020,Mainichi & SSRC,3,NKP
8/2/2020,JNN,1,NKP
8/23/2020,ANN,3.900390625,NKP
9/3/2020,Mainichi and JNN,3,NKP
9/6/2020,JNN,1.099609375,NKP
9/17/2020,Nikkei,4,NKP
9/17/2020,Asahi Shimbun,3,NKP
9/20/2020,Yomiuri-NNN,3,NKP
9/20/2020,ANN,3.5,NKP
9/22/2020,NHK,3,NKP
10/4/2020,JNN,4,NKP
10/11/2020,NHK,3.19921875,NKP
10/12/2020,Jiji Press,3,NKP
10/18/2020,Yomiuri-NNN,3,NKP
10/18/2020,ANN,4.19921875,NKP
10/18/2020,Asahi Shimbun,3,NKP
10/25/2020,Nikkei,4,NKP
11/8/2020,NHK,3.599609375,NKP
11/8/2020,JNN,2.900390625,NKP
11/8/2020,Yomiuri-NNN,3,NKP
11/9/2020,Jiji Press,2.599609375,NKP
11/15/2020,Asahi Shimbun,4,NKP
11/15/2020,ANN,3.30078125,NKP
11/17/2020,Yomiuri-Waseda,4,NKP
11/29/2020,Nikkei,3,NKP
12/6/2020,Yomiuri-NNN,3,NKP
12/6/2020,Kyodo News,3.69921875,NKP
12/6/2020,JNN,3.400390625,NKP
12/7/2020,Jiji Press,3.30078125,NKP
12/13/2020,NHK,3.400390625,NKP
12/20/2020,ANN,3.900390625,NKP
12/27/2020,Nikkei,3,NKP
12/27/2020,Yomiuri-NNN,3,NKP
1/10/2021,Kyodo News,3.900390625,NKP
1/10/2021,JNN,3.19921875,NKP
1/11/2021,Jiji Press,3.900390625,NKP
1/11/2021,NHK,3,NKP
1/17/2021,Yomiuri-NNN,3,NKP
1/17/2021,ANN,4.3984375,NKP
1/24/2021,FNN-Sankei,3.599609375,NKP
1/31/2021,Nikkei,5,NKP
2/7/2021,Yomiuri-NNN,4,NKP
2/7/2021,JNN,3.69921875,NKP
2/7/2021,Jiji Press,2.400390625,NKP
2/7/2021,NHK,3,NKP
2/14/2021,ANN,3.5,NKP
2/14/2021,Asahi Shimbun,4,NKP
2/21/2021,FNN-Sankei,2.599609375,NKP
2/28/2021,Nikkei,2,NKP
3/7/2021,JNN,2,NKP
3/7/2021,Yomiuri-NNN,3,NKP
3/7/2021,NHK,3.19921875,NKP
3/8/2021,Jiji Press,3.5,NKP
3/14/2021,FNN-Sankei,4.3984375,NKP
3/21/2021,Asahi Shimbun,3,NKP
3/21/2021,ANN,3.900390625,NKP
3/28/2021,Nikkei,4,NKP
4/1/2021,Mainichi Shimbun,4,NKP
4/4/2021,JNN,3.099609375,NKP
4/4/2021,Yomiuri-NNN,3,NKP
4/11/2021,NHK,4.1015625,NKP
4/11/2021,Asahi Shimbun,2,NKP
4/12/2021,Asahi Shimbun,4,NKP
4/12/2021,Jiji Press,3.80078125,NKP
4/18/2021,ANN,3.400390625,NKP
4/18/2021,FNN-Sankei,3.19921875,NKP
4/25/2021,Nikkei,3,NKP
5/9/2021,NHK,2.900390625,NKP
5/9/2021,JNN,3.80078125,NKP
5/9/2021,Yomiuri-NNN,2,NKP
5/10/2021,Jiji Press,2.599609375,NKP
5/16/2021,Kyodo News,4.5,NKP
5/16/2021,FNN-Sankei,3.099609375,NKP
5/16/2021,go2senkyo,4.1015625,NKP
5/16/2021,ANN,2.599609375,NKP
5/16/2021,Asahi Shimbun,3,NKP
5/30/2021,Nikkei,4,NKP
6/1/2021,Mainichi Shimbun,4,NKP
6/6/2021,Yomiuri-NNN,3,NKP
6/6/2021,JNN,3.5,NKP
6/13/2021,NHK,3.5,NKP
